post,aspect,polarity
টেকনোক্র্যাট মন্ত্রীদের পদত্যাগের নির্দেশ,politics,negative
তুমি নড়াইল এক্সপ্রেস,sports,neutral
হাসিনার করুণ পরিণতি কামনা করছি ।,politics,negative
গোলাম তুমি কার,other,negative
কুতিনহো নিজেই আর বার্সায় আসতে চায় না,sports,negative
একজন পতিতা আরেকজন পতিতার সর্দারনী,other,negative
"নেইমার তুই আসিস না, এই বড় ভাই অখুশি হবে।",sports,negative
পরে কিনতু মলম পাইবেন না।,other,negative
"আসুন, রাজপথে মোকাবেলা হবে এবং সংলাপের ফলও পাওয়া হবে। তবে, লুকাবেন না।",other,negative
এখানে নিজেদের স্বার্থ বলি দিয়ে এরকম সিদ্ধান্ত নেয়া সমীচিন না,other,negative
এবার পুরো আসন আর কি!,politics,neutral
সংলাপে কিছু হয়নি লোক দেখানো সংলাপ,politics,negative
টিনের চালে কাউয়া কাদের,politics,negative
আজকে জিম্বাবুয়ে অনেক ভালো খেলেছে,sports,positive
আলহামদুলিল্লাহ আল্লাহ তুমি ডঃ জাকির কে নেক হায়াত বাড়িয়ে দাও সুস্থ রাখো তোমার জমিনে আলহামদুলিল্লাহ,religion,positive
ওনার কথার সাথে একমত নয়,other,negative
"বাংলার ক্রিকেটে যেদিন সাকিব ফিরবে,সেদিন আমি ও ফিরবো দর্শক হয়ে, ইনশাআল্লাহ।",sports,positive
সংবাদিকরা ভালো হলে হনিফ এই কথা বলার সাহস পেত না,other,negative
মাশরাফি নিঃসন্দেহে বাংলাদেশের ইতিহাসের অন্যতম সেরা ফাস্ট বোলার।,sports,positive
আলহামদুলিল্লাহ শুরু করেন ভাই শুরু করেন,religion,positive
বারত হারলে পিয়াজের দাম বারবে,other,negative
ইদানিং একটু বেশিই ভাল খেলতেন,sports,positive
কাদের ভাই পরবর্তী তফসিল ঘোষণার অপেক্ষায় জনগণ।,politics,negative
"উনি কর দেনকিনা, তদন্ত করে দেখা উচিত",other,neutral
মোদের নৌকা জিতবে,politics,positive
মিসওয়াক কি নারীদের জন্যও???,religion,neutral
যাক আমাকে কর দেওয়া লাগবে না,other,neutral
ওরা তোর মত ভাদাইম্মা নাস্তিক,religion,negative
এক মাত্র পীর ও কবর ডা জাকির নায়েকের বিরুধিতা করে জাকির নায়েক i love you,religion,negative
রাজপথ রাজপথ কইতে কইতে এক সময় দেখবেন নির্বাচনই শেষ।,other,neutral
এখন সুদু নামাজ পরে আললার কাছে দোয়া করি,religion,positive
ক্যাপশনের শেষ লাইন টাই সাকিব কে আবার জেগে তুলবে আমি শিওর..,sports,neutral
দেশ অচল করে দেব,other,negative
মেরুদন্ড হীন পার্টি,other,negative
বিএনপি নেতা কর্মীরা আন্দোলন চায় না,politics,negative
ধন্যবাদ মাননীয় বিসিবি,other,positive
দূয়া করি আল্লাহ আপনাকে হেফাজত করুণ।,religion,positive
২০২৩ সালের নির্বাচনে আসবে,politics,neutral
একজন ঈমানদার সন্তানের পিতাকে আল্লাহুতালা নিয়ে গেলেন। আমিন।,religion,positive
এই যদি ধর্মের নিদর্শন হয় তবে অধার্মিক হওয়াই শ্রেয়..,religion,negative
যোদ্ধা তবে মুক্তির জন্য যুদ্ধ করেনি।,other,neutral
আল হামদুলিল্লাহ্‌ ভালো,religion,positive
মিজা ফখরুল ইসলাম আলগীর স্যার আমি জানে আলম আপনাকে হাজার হাজার হাজার হাজার সালাম স্যার,politics,positive
উগান্ডারর সংবিধানের দোহায় বাংলাদেশে দিয়েন না!!,politics,negative
কিন্তু আপনার ভোটাররাও লজ্জিত,politics,negative
ভোটের মাধ্যমে জনগণের ভোট দেয়ার সুযোগ চাই।,politics,positive
খুব ভাল কথা,other,positive
আল্লাহ পাক আপ্নেরে দ্বীনের পথে চলার তৌফিক দান করুক,religion,positive
বিগত ১০ বছর জামায়াতের কেন্দ্রীয় অফিসে তালা,politics,neutral
ধন্যবাদ মুশফিক ভাই।,sports,positive
শুধু মুখে বললে হবেনা,other,negative
"ঐতিহাসিক গণজোয়ারে ঢাকা রাজধানী """,politics,positive
ভোটের অধিকার ফেরত পাওয়া নিয়ে ভাবতেছি,politics,positive
দুই বেগমের বিদায় চাই,politics,negative
